"","id","type","name","zone","coordinates","lon","lat","alt"
"1","1000002","tube","Acton Town",3,"-.280251203536110600,51.502749773000570000,0",-0.280251203536111,51.5027497730006,0
"2","1000003","tube","Aldgate",1,"-.075614184477749600,51.514271823083390000,0",-0.0756141844777496,51.5142718230834,0
"3","1000004","tube","Aldgate East",1,"-.072287119975365420,51.515233413796480000,0",-0.0722871199753654,51.5152334137965,0
"4","1000005","tube","Alperton",4,"-.299486538678611470,51.540694766293470000,0",-0.299486538678611,51.5406947662935,0
"5","1000006","tube","Amersham",6,"-.607478839102469000,51.674149710629730000,0",-0.607478839102469,51.6741497106297,0
"6","1000007","tube","Angel",1,"-.105789913665305300,51.532498868904300000,0",-0.105789913665305,51.5324988689043,0
"7","1000008","tube","Archway",2,"-.135113518210335370,51.565426754533750000,0",-0.135113518210335,51.5654267545338,0
"8","1000009","tube","Arnos Grove",4,"-.133516309581780070,51.616340261056756000,0",-0.13351630958178,51.6163402610568,0
"9","1000010","tube","Arsenal",2,"-.105761988175557870,51.558498768776680000,0",-0.105761988175558,51.5584987687767,0
"10","1000011","tube","Baker Street",1,"-.156900356057780880,51.523061248142790000,0",-0.156900356057781,51.5230612481428,0
"11","1000012","tube","Balham",3,"-.153207552666472820,51.443328979635250000,0",-0.153207552666473,51.4433289796352,0
"12","1000013","tube","Bank",1,"-.088915809045260000,51.513302371519344000,0",-0.08891580904526,51.5133023715193,0
"13","1000014","tube","Barbican",1,"-.097711123216248310,51.520145725324900000,0",-0.0977111232162483,51.5201457253249,0
"14","1000015","tube","Barking",4,".080863182849410430,51.539451208515715000,0",0.0808631828494104,51.5394512085157,0
"15","1000016","tube","Barkingside",5,".088511013821779280,51.585785960390545000,0",0.0885110138217793,51.5857859603905,0
"16","1000017","tube","Barons Court",2,"-.213606857361082370,51.490159942708935000,0",-0.213606857361082,51.4901599427089,0
"17","1000018","tube","Bayswater",1,"-.188038262221618460,51.512233058741060000,0",-0.188038262221618,51.5122330587411,0
"18","1000019","tube","Becontree",5,".127400321155280580,51.540288535204700000,0",0.127400321155281,51.5402885352047,0
"19","1000020","tube","Belsize Park",2,"-.164232306333818050,51.550426627718240000,0",-0.164232306333818,51.5504266277182,0
"20","1000021","tube","Bermondsey",2,"-.063651350918079250,51.497949119581570000,0",-0.0636513509180792,51.4979491195816,0
"21","1000022","tube","Bethnal Green",2,"-.055431117145884300,51.527195236069566000,0",-0.0554311171458843,51.5271952360696,0
"22","1000023","tube","Blackfriars",1,"-.103606731219862620,51.511490522247490000,0",-0.103606731219863,51.5114905222475,0
"23","1000024","tube","Blackhorse Road",3,"-.040996340920370744,51.586951195438930000,0",-0.0409963409203707,51.5869511954389,0
"24","1000025","tube","Bond Street",1,"-.149332354586202300,51.513804535388070000,0",-0.149332354586202,51.5138045353881,0
"25","1000026","tube","Borough",1,"-.093702664758373440,51.501193998928510000,0",-0.0937026647583734,51.5011939989285,0
"26","1000027","tube","Boston Manor",4,"-.324763573796374050,51.495696382188164000,0",-0.324763573796374,51.4956963821882,0
"27","1000028","tube","Bounds Green",3,"-.124218963208536690,51.607090556952755000,0",-0.124218963208537,51.6070905569528,0
"28","1000029","tube","Bow Road",2,"-.024823746874528683,51.526800254826064000,0",-0.0248237468745287,51.5268002548261,0
"29","1000030","tube","Brent Cross",3,"-.213455833755365300,51.576800471443870000,0",-0.213455833755365,51.5768004714439,0
"30","1000031","tube","Brixton",2,"-.114635581578615600,51.462581333631725000,0",-0.114635581578616,51.4625813336317,0
"31","1000033","tube","Buckhurst Hill",5,".046743856240495990,51.626517330409435000,0",0.046743856240496,51.6265173304094,0
"32","1000034","tube","Burnt Oak",4,"-.264198758145630100,51.602681099702550000,0",-0.26419875814563,51.6026810997026,0
"33","1000035","tube","Caledonian Road",2,"-.118312333133271940,51.548421318403776000,0",-0.118312333133272,51.5484213184038,0
"34","1000036","tube","Camden Town",2,"-.142726148730286300,51.539403522631090000,0",-0.142726148730286,51.5394035226311,0
"35","1000037","tube","Canada Water",2,"-.049705986794378270,51.497888681995114000,0",-0.0497059867943783,51.4978886819951,0
"36","1000038","tube","Canary Wharf",2,"-.019431816253263262,51.503550485647594000,0",-0.0194318162532633,51.5035504856476,0
"37","1000039","tube","Canning Town",3,".008171036532588041,51.513837129289570000,0",0.00817103653258804,51.5138371292896,0
"38","1000040","tube","Cannon Street",1,"-.090694850680980680,51.511433722337300000,0",-0.0906948506809807,51.5114337223373,0
"39","1000041","tube","Canons Park",5,"-.294653740878426550,51.607759515215320000,0",-0.294653740878427,51.6077595152153,0
"40","1000042","tube","Chalfont & Latimer",6,"-.560534956448776200,51.668025473926090000,0",-0.560534956448776,51.6680254739261,0
"41","1000043","tube","Chalk Farm",2,"-.153728009451251480,51.544083102422630000,0",-0.153728009451251,51.5440831024226,0
"42","1000044","tube","Chancery Lane",1,"-.111677427383970640,51.518123230614440000,0",-0.111677427383971,51.5181232306144,0
"43","1000045","tube","Charing Cross",1,"-.124754686624366030,51.508593207603190000,0",-0.124754686624366,51.5085932076032,0
"44","1000046","tube","Chesham",6,"-.611219246324909900,51.705030454829610000,0",-0.61121924632491,51.7050304548296,0
"45","1000047","tube","Chigwell",5,".074526611263722940,51.617871925405100000,0",0.0745266112637229,51.6178719254051,0
"46","1000048","tube","Chiswick Park",3,"-.267746873913726140,51.494300591745144000,0",-0.267746873913726,51.4943005917451,0
"47","1000049","tube","Chorleywood",6,"-.518365989763054100,51.654217860774500000,0",-0.518365989763054,51.6542178607745,0
